Agent,InformationLevel,Pdc_Correct1,Pdc_Correct2,Pdc_Correct3,Pdc_Correct4,Pdc_Correct5,Pdt1,Pdt2,Pdt3,Pdt4,Pdt5,Coin1,Coin2,Coin3,Coin4,Coin5,Decision1,Decision2,Decision3,Decision4,Decision5,BetAmount1,BetAmount2,BetAmount3,BetAmount4,BetAmount5,Bet1,Bet2,Bet3,Bet4,Bet5,Session,statistics_score,WrongNum,BlankNum,ExchangeRate,TimeOKProbabilityTestQ1Q5OK,TimeOKProbabilityTestQ6Q10OK,Earning2,TimeClickToProCorrectAnswersOK,Choice1,Choice2,Choice3,Choice4,Choice5,Choice6,Choice7,Choice8,Choice9,Choice10,TimeClickToProionInstructionOK,Gender,Year,Age,TimeSubmitDemographicsOK,UnderstandingLevel,TimeSubmitUnderstandingQnsOK,questionorder1,questionorder2,questionorder3,questionorder4,questionorder5,questionorder6,questionorder7,questionorder8,questionorder9,questionorder10,KarmaBelief1,KarmaBelief2,KarmaBelief3,TimeSubmitKarmaBeliefOK,Authority1,Authority2,Authority3,Authority4,Authority5,Authority6,Authority7,TimeSubmitLocuOfControlScaleOK,IUS1,IUS2,IUS3,IUS4,IUS5,IUS6,IUS7,IUS8,IUS9,IUS10,IUS11,IUS12,Endowment_beforeR1,Endowment_beforeR2,Endowment_beforeR3,Endowment_beforeR4,Endowment_beforeR5,Endowment_afterR1,Endowment_afterR2,Endowment_afterR3,Endowment_afterR4,Endowment_afterR5,StreakTreat_R2,StreakTreat_R3,StreakTreat_R4,StreakTreat_R5,switching_point,risk_score,treat,karma,authority,iu,Head1,Head2,Head3,Head4,Tail1,Tail2,Tail3,Tail4,madewrongbet1,madewrongbet2,madewrongbet3,madewrongbet4,madewrongbet5,fixedbetting,betsame1,betsame2,betsame3,betsame4,betsame5,gambler1,gambler2,gambler3,gambler4,lgbetamount1,lgbetamount2,lgbetamount3,lgbetamount4,lgbetamount5
2,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,50,10,10,30,10,1,0,0,0,0,3b,6,2,2,0.02,125,85,1.2,-9,1,1,1,1,1,1,1,2,2,2,479,1,1,21,10,5,-31,6,9,1,12,4,2,8,5,7,3,2,4,3,-20,5,3,4,3,5,6,6,-26,2,3,4,2,2,3,4,2,2,3,3,3,300,350,360,370,340,350,360,370,340,330,3,3,3,1,8,2,4,-0.032453425228595734,0.27863356471061707,-0.052059605717658997,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3.9120230674743652,2.3025851249694824,2.3025851249694824,3.4011974334716797,2.3025851249694824
1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,50,70,100,120,100,1,0,1,1,1,6c,10,0,0,0.02,85,95,3,2,1,1,1,1,1,1,1,2,2,2,479,1,2,22,21,5,-13,4,9,2,8,5,1,7,12,6,3,2,4,3,-4,4,5,4,6,6,6,6,-10,3,2,4,2,1,1,1,1,2,1,3,2,300,250,320,220,100,250,320,220,100,200,2,1,1,1,8,2,2,-0.032453425228595734,1.011675238609314,-1.020275354385376,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,2,2,2,3.9120230674743652,4.2484951019287109,4.6051702499389648,4.7874917984008789,4.6051702499389648
1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,50,45,55,125,120,1,0,0,1,1,2f,6,2,2,0.02,1,16,1.2,-5,1,1,1,1,1,1,1,1,1,1,479,1,1,20,-49,5,-310,8,12,7,1,9,6,3,2,4,5,3,3,3,-13,5,3,2,2,2,7,4,-42,1,2,3,1,1,1,3,3,1,1,1,1,300,350,305,250,125,350,305,250,125,245,3,1,1,1,11,2,1,-0.082295022904872894,-0.45520290732383728,-1.6747468709945679,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,3.9120230674743652,3.8066625595092773,4.0073332786560059,4.8283138275146484,4.7874917984008789
2,2,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,40,20,30,20,40,0,0,0,0,0,3f,10,0,0,0.02,10,136,3,-1,1,1,1,1,1,2,2,2,2,2,479,2,4,21,11,5,-137,1,3,6,4,12,2,7,5,9,8,2,2,4,-32,3,2,3,2,1,6,7,-15,4,4,3,2,2,2,3,2,3,3,2,1,300,260,280,310,290,260,280,310,290,240,3,3,3,1,6,2,4,-0.70279574394226074,-0.9744575023651123,-0.14614304900169373,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,3.6888794898986816,2.995732307434082,3.4011974334716797,2.995732307434082,3.6888794898986816
2,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,15,20,30,35,30,0,1,1,1,1,1b,7,3,0,0.02,10,113,1.2,-2,1,1,1,1,1,2,2,2,2,2,479,2,1,19,18,5,-52,7,2,5,1,3,9,8,4,6,12,1,3,5,-8,2,3,5,3,5,7,6,-25,3,2,5,4,5,2,5,1,1,3,1,1,300,285,305,335,370,285,305,335,370,400,3,1,1,1,6,2,3,-0.55769950151443481,-0.029397161677479744,-0.4003499448299408,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,2.7080502510070801,2.995732307434082,3.4011974334716797,3.5553481578826904,3.4011974334716797
1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,50,50,30,100,25,1,1,0,1,1,8a,9,1,0,0.02,99999,99999,2.3999999999999999,99999,2,2,2,2,2,2,2,2,2,2,99999,3,6,21,99999,5,99999,3,9,7,2,1,6,5,8,12,4,2,4,3,99999,2,2,2,6,5,5,3,99999,4,5,1,4,3,1,2,1,4,5,3,2,300,350,400,430,530,350,400,430,530,505,3,1,1,1,1,-2,1,-0.032453425228595734,0.4139162003993988,0.60445094108581543,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3.9120230674743652,3.9120230674743652,3.4011974334716797,4.6051702499389648,3.2188758850097656
2,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,40,50,90,90,200,0,0,0,1,1,2d,9,1,0,0.02,46,101,2.3999999999999999,-11,1,1,1,1,1,1,2,2,2,2,479,1,1,21,20,5,-15,4,2,7,9,3,6,5,8,1,12,1,1,3,4,4,3,2,5,5,6,6,-7,3,4,4,3,4,2,3,3,1,3,1,2,300,250,200,290,200,250,200,290,200,0,3,1,1,1,7,2,3,-1.5138058662414551,0.21548914909362793,-0.28048506379127502,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,3.6888794898986816,3.9120230674743652,4.499809741973877,4.499809741973877,5.2983174324035645
2,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,10,10,10,10,10,0,1,1,1,1,8c,4,6,0,0.02,13,1,0,-1,1,1,1,1,1,1,1,1,1,2,478,2,2,20,9,4,-7,1,7,3,4,2,5,6,9,8,12,3,3,3,-8,2,4,2,3,3,5,6,-18,3,3,4,3,3,2,3,2,1,2,2,2,300,280,270,250,240,280,270,250,240,250,3,3,3,3,10,2,4,-0.082295022904872894,-0.40619924664497375,-0.52863925695419312,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824,2.3025851249694824
2,2,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,50,60,40,40,100,1,1,1,0,1,5b,7,3,0,0.02,99999,99999,1.2,99999,1,1,1,1,1,1,1,2,2,2,99999,2,2,22,99999,4,99999,1,5,8,4,6,3,7,9,12,2,3,3,5,99999,2,1,3,6,4,7,5,99999,1,4,4,1,3,1,4,2,3,4,3,2,300,350,290,250,200,350,290,250,200,100,3,3,3,1,8,2,4,0.10821433365345001,-0.056632965803146362,-0.092670433223247528,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,3.9120230674743652,4.0943446159362793,3.6888794898986816,3.6888794898986816,4.6051702499389648
1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,50,50,50,150,200,0,1,1,0,0,5a,9,1,0,0.02,99999,99999,2.3999999999999999,99999,1,1,1,1,1,2,2,2,2,2,99999,1,2,19,99999,5,99999,2,3,4,6,12,5,8,1,9,7,4,4,3,99999,4,4,4,4,4,5,5,99999,3,3,3,3,4,3,3,3,3,3,3,3,300,350,400,350,200,350,400,350,200,400,2,2,1,1,6,2,1,0.6334604024887085,0.50120997428894043,0.437864750623703,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,3.9120230674743652,3.9120230674743652,3.9120230674743652,5.0106353759765625,5.2983174324035645
