variable,label,value_labels
Agent,,"{""1"": ""Expert"", ""2"": ""Charity""}"
InformationLevel,,"{""1"": ""No Info"", ""2"": ""Info Disclosure""}"
Pdc_Correct1,,{}
Pdc_Correct2,,{}
Pdc_Correct3,,{}
Pdc_Correct4,,{}
Pdc_Correct5,,{}
Pdt1,Our Prediction,"{""1"": ""Head"", ""0"": ""Tail""}"
Pdt2,Our Prediction,"{""1"": ""Head"", ""0"": ""Tail""}"
Pdt3,Our Prediction,"{""1"": ""Head"", ""0"": ""Tail""}"
Pdt4,Our Prediction,"{""1"": ""Head"", ""0"": ""Tail""}"
Pdt5,Our Prediction,"{""1"": ""Head"", ""0"": ""Tail""}"
Coin1,,"{""1"": ""Head"", ""0"": ""Tail""}"
Coin2,,"{""1"": ""Head"", ""0"": ""Tail""}"
Coin3,,"{""1"": ""Head"", ""0"": ""Tail""}"
Coin4,,"{""1"": ""Head"", ""0"": ""Tail""}"
Coin5,,"{""1"": ""Head"", ""0"": ""Tail""}"
Decision1,,"{""0"": ""Purchased/donated=0"", ""1"": ""Purchased/donated=1""}"
Decision2,,"{""0"": ""Purchased/donated=0"", ""1"": ""Purchased/donated=1""}"
Decision3,,"{""0"": ""Purchased/donated=0"", ""1"": ""Purchased/donated=1""}"
Decision4,,"{""0"": ""Purchased/donated=0"", ""1"": ""Purchased/donated=1""}"
Decision5,,"{""0"": ""Purchased/donated=0"", ""1"": ""Purchased/donated=1""}"
BetAmount1,,{}
BetAmount2,,{}
BetAmount3,,{}
BetAmount4,,{}
BetAmount5,,{}
Bet1,,"{""1"": ""Head"", ""0"": ""Tail""}"
Bet2,,"{""1"": ""Head"", ""0"": ""Tail""}"
Bet3,,"{""1"": ""Head"", ""0"": ""Tail""}"
Bet4,,"{""1"": ""Head"", ""0"": ""Tail""}"
Bet5,,"{""1"": ""Head"", ""0"": ""Tail""}"
Session,,{}
statistics_score,Number of Questions Answered Correctly in Probability Test,{}
WrongNum,Number of Questions Answered Incorrectly in Probability Test,{}
BlankNum,Number of Questions Unanswered in Probability Test,{}
ExchangeRate,,{}
TimeOKProbabilityTestQ1Q5OK,,{}
TimeOKProbabilityTestQ6Q10OK,,{}
Earning2,Earning in Probability Test,{}
TimeClickToProCorrectAnswersOK,,{}
Choice1,"Option A ($1) or B($3 with 0%,  $0 with 100% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice2,"Option A ($1) or Option B($3 with 10%,  $0 with 90% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice3,"Option A ($1) or Option B($3 with 20%,  $0 with 80% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice4,"Option A ($1) or Option B($3 with 30%,  $0 with 70% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice5,"Option A ($1) or Option B($3 with 40%,  $0 with 60% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice6,"Option A ($1) or Option B($3 with 50%,  $0 with 50% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice7,"Option A ($1) or Option B($3 with 60%,  $0 with 40% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice8,"Option A ($1) or Option B($3 with 70%,  $0 with 30% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice9,"Option A ($1) or Option B($3 with 80%,  $0 with 20% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
Choice10,"Option A ($1) or Option B($3 with 90%,  $0 with 10% chance)","{""1"": ""Option A"", ""2"": ""Option B""}"
TimeClickToProionInstructionOK,,{}
Gender,,"{""1"": ""Male"", ""2"": ""Female"", ""3"": ""I would prefer not to say""}"
Year,,"{""1"": ""Year 1"", ""2"": ""Year 2"", ""3"": ""Year 3"", ""4"": ""Year 4"", ""5"": ""Year 5"", ""6"": ""Postgraduate""}"
Age,,{}
TimeSubmitDemographicsOK,,{}
UnderstandingLevel,,"{""1"": ""Don't understand at all"", ""2"": ""Barely understand"", ""3"": ""Have an average level of understanding"", ""4"": ""Mostly understand"", ""5"": ""Completely understand""}"
TimeSubmitUnderstandingQnsOK,,{}
questionorder1,,{}
questionorder2,,{}
questionorder3,,{}
questionorder4,,{}
questionorder5,,{}
questionorder6,,{}
questionorder7,,{}
questionorder8,,{}
questionorder9,,{}
questionorder10,,{}
KarmaBelief1,"When people are met with misfortune, they have brought it upon themselves by pre","{""1"": ""Strongly disagree"", ""2"": ""Slightly disagree"", ""3"": ""Neutral"", ""4"": ""Slightly agree"", ""5"": ""Strongly agree""}"
